,itemTypeDisplayName,displayProperties.name,defaultDamageTypeHash,equippingBlock.equipmentSlotTypeHash,equippingBlock.ammoType,sockets.socketEntries.0.singleInitialItemHash,sockets.socketEntries.1.randomizedPlugSetHash,sockets.socketEntries.2.randomizedPlugSetHash,sockets.socketEntries.3.randomizedPlugSetHash,sockets.socketEntries.4.randomizedPlugSetHash
-199071223,Combat Bow,Accrued Redemption,Kinetic,Kinetic,Primary,Precision Frame,"['Agile Bowstring', 'Tactile String', 'Elastic String', 'Flexible String', 'High Tension String', 'Natural String', 'Polymer String']","['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Helical Fletching', 'Natural Fletching', 'Straight Fletching']","['Rangefinder', ""Archer's Tempo"", 'No Distractions', 'Quickdraw']","['Moving Target', 'Explosive Head', 'Rampage', 'Rapid Hit']"
-148264748,Grenade Launcher,Outrageous Fortune,Solar,Power,Heavy,Rapid-Fire Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Remote Detonation', 'Proximity Grenades', 'Spike Grenades', 'Black Powder', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades', 'Concussion Grenades']","['Rangefinder', 'Field Prep', 'Auto-Loading Holster', 'Snapshot Sights', 'Threat Detector']","['Genesis', 'Ambitious Assassin', 'Rampage', 'Quickdraw']"
-138713569,Pulse Rifle,The Third Axiom,Arc,Energy,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Slideways', 'Surplus', 'Killing Wind', 'Feeding Frenzy', 'Moving Target', 'Genesis', 'Zen Moment', 'Rangefinder', 'Subsistence', 'Hip-Fire Grip', 'Slideshot', 'Quickdraw']","['One for All', 'Unrelenting', 'Thresh', 'Multikill Clip', 'Sympathetic Arsenal', 'Dragonfly', 'Disruption Break', 'Opening Shot', 'Headseeker', 'Vorpal Weapon', 'Rampage', 'Elemental Capacitor']"
-110158304,Sniper Rifle,Adored,Arc,Energy,Special,Adaptive Frame,['Static'],['Static'],['Static'],['Static']
-64001307,Machine Gun,Commemoration,Void,Power,Heavy,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Zen Moment', 'Dynamic Sway Reduction', 'Surplus', 'Reconstruction', 'No Distractions', 'Feeding Frenzy']","['Eye of the Storm', 'Unrelenting', 'Rampage', 'Dragonfly', 'Moving Target', 'Under Pressure']"
-63973697,Sword,Steel Sybil Z-14,Void,Power,Heavy,Adaptive Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Relentless Strikes', 'Tireless Blade']","['Whirlwind Blade', 'En Garde', ""Assassin's Blade""]"
-46398054,Shotgun,Heritage,Kinetic,Kinetic,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Hip-Fire Grip', 'Reconstruction', 'Auto-Loading Holster', 'Dual Loader', 'Slideshot', 'Outlaw']","['Killing Wind', 'Thresh', 'Unrelenting', 'Recombination', 'Snapshot Sights', 'Moving Target']"
-39380627,Grenade Launcher,Empty Vessel,Solar,Energy,Special,Lightweight Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Blinding Grenades', 'Proximity Grenades', 'Spike Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades']","['Quickdraw', 'Surplus', 'Genesis', 'Feeding Frenzy', 'Auto-Loading Holster', 'Lead from Gold', 'Threat Detector', 'Ambitious Assassin', 'Field Prep', 'Underdog']","['Disruption Break', 'Multikill Clip', 'Unrelenting', 'Snapshot Sights', 'Danger Zone', 'Demolitionist', 'Vorpal Weapon', 'Swashbuckler', 'One for All', 'Thresh']"
-13595722,Scout Rifle,Hung Jury SR4,Kinetic,Kinetic,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Subsistence', 'Moving Target', 'Rapid Hit', 'Heating Up', 'Bottomless Grief', 'Surplus', 'Bottomless Grief']","['Adrenaline Junkie', 'Box Breathing', 'Explosive Payload', 'Wellspring', 'One for All', 'Firefly']"
-2117604,Hand Cannon,Crimil's Dagger,Kinetic,Kinetic,Primary,Aggressive Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Moving Target', 'Outlaw', 'Auto-Loading Holster', 'Rangefinder', 'Threat Detector', 'Triple Tap', 'Snapshot Sights']","['Timed Payload', 'Kill Clip', 'Field Prep', 'Hip-Fire Grip', 'Zen Moment', 'Opening Shot', 'Explosive Payload']"
20935540,Auto Rifle,Arctic Haze,Solar,Energy,Primary,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Genesis', 'Killing Wind', 'Triple Tap', 'Mulligan', 'Outlaw', 'Subsistence']","['Unrelenting', 'Elemental Capacitor', 'Vorpal Weapon', 'Dragonfly', 'Thresh', 'Eye of the Storm']"
35794111,Sword,Temptation's Hook,Arc,Power,Heavy,Caster Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Energy Transfer', 'Tireless Blade', 'Relentless Strikes']","['Surrounded', 'Vorpal Weapon', 'Flash Counter', 'Whirlwind Blade', 'En Garde']"
42351395,Rocket Launcher,Subzero Salvo,Arc,Power,Heavy,Precision Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Killing Wind', 'Moving Target', 'Ambitious Assassin', 'Underdog', 'Surplus', 'Quickdraw']","['Chain Reaction', 'Unrelenting', 'Cluster Bomb', 'Thresh', 'Demolitionist', 'Snapshot Sights']"
47772649,Machine Gun,THE SWARM,Arc,Power,Heavy,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Killing Wind', 'Outlaw', 'Bottomless Grief', 'Dynamic Sway Reduction', 'Surplus', 'Unrelenting', 'Bottomless Grief']","['Zen Moment', 'Slideways', 'Tap the Trigger', 'One for All', 'Dragonfly', 'Vorpal Weapon']"
48643186,Hand Cannon,Ancient Gospel,Solar,Energy,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine']","['Rapid Hit', 'Slideshot', 'Eye of the Storm', 'Outlaw']","['Kill Clip', 'Rangefinder', 'Dragonfly', 'Swashbuckler']"
65611680,Sidearm,The Fool's Remedy,Solar,Energy,Primary,SUROS Rapid-Fire,"['QuickDot SAS', 'Control SAS', 'Shortspec SAS', 'Tactic SAS', 'Target SAS', 'FarPoint SAS']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Moving Target', 'Pulse Monitor', ""Fourth Time's the Charm"", 'Subsistence', 'Feeding Frenzy', 'Hip-Fire Grip']","['Iron Grip', 'Quickdraw', 'Eye of the Storm', 'Kill Clip', 'Iron Gaze', 'Rangefinder']"
66875353,Machine Gun,Avalanche,Solar,Power,Heavy,Adaptive Frame,"['SRO-37 Ocular', 'SRO-41 Ocular', 'SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Outlaw', 'Grave Robber', 'Killing Wind', 'Auto-Loading Holster', 'Surplus', 'Zen Moment']","['Swashbuckler', 'Unrelenting', 'Opening Shot', 'Vorpal Weapon', 'Dragonfly', 'Tap the Trigger']"
108221785,Shotgun,Riiswalker,Kinetic,Kinetic,Special,Lightweight Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Slideways', 'Hip-Fire Grip', 'Quickdraw', 'Surplus', 'Firmly Planted', 'Eye of the Storm']","['Iron Reach', 'Killing Wind', 'Unrelenting', 'Vorpal Weapon', 'Demolitionist', 'Swashbuckler']"
136525518,Rocket Launcher,Shining Sphere,Arc,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Rangefinder', 'Field Prep', 'Auto-Loading Holster', 'Snapshot Sights']","['Tracking Module', 'Ambitious Assassin', 'Quickdraw', 'Demolitionist']"
188882152,Pulse Rifle,Last Perdition,Void,Energy,Primary,Adaptive Frame,"['SRO-37 Ocular', 'SRO-41 Ocular', 'SRO-52 Ocular', 'SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Outlaw', 'Rangefinder', 'Firmly Planted', 'Grave Robber', 'Under Pressure', 'Moving Target']","['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Full Auto Trigger System', 'Snapshot Sights', 'Headseeker', 'Zen Moment']"
208088207,Pulse Rifle,Premonition,Void,Energy,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Feeding Frenzy', 'Slideways', 'Killing Wind', 'Moving Target', 'Zen Moment', 'Surplus']","['High-Impact Reserves', 'Snapshot Sights', 'Rampage', 'Quickdraw', 'Headseeker', 'Thresh']"
211938782,Combat Bow,Whispering Slab,Kinetic,Kinetic,Primary,Lightweight Frame,"['Agile Bowstring', 'Tactile String', 'Elastic String', 'Flexible String', 'High Tension String', 'Natural String', 'Polymer String']","['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Fiberglass Arrow Shaft', 'Helical Fletching', 'Natural Fletching', 'Straight Fletching']","['Quickdraw', 'Firmly Planted', 'Hip-Fire Grip', ""Archer's Tempo"", 'Killing Wind', 'Rangefinder']","['Opening Shot', 'Vorpal Weapon', 'Sympathetic Arsenal', 'Demolitionist', 'Unrelenting', 'Swashbuckler']"
217140611,Shotgun,The Deicide,Void,Energy,Special,Rapid-Fire Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Lead from Gold', 'Dual Loader', 'Slideshot', 'Surplus', 'Grave Robber', 'Hip-Fire Grip']","['Elemental Capacitor', 'Wellspring', 'Unrelenting', 'One-Two Punch', 'Demolitionist', 'Vorpal Weapon']"
253196586,Fusion Rifle,Main Ingredient,Arc,Energy,Special,Precision Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Under Pressure', 'Firmly Planted', 'Auto-Loading Holster', 'Snapshot Sights', 'Moving Target', 'Hip-Fire Grip', 'Threat Detector']","['Backup Plan', 'Kill Clip', 'Rampage', 'High-Impact Reserves', 'Rangefinder', 'Quickdraw', 'Tap the Trigger']"
276080079,Fusion Rifle,Exile's Curse (Adept),Arc,Energy,Special,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Quickdraw', 'Pulse Monitor', 'Slideshot', 'Killing Wind', 'Hip-Fire Grip']","['Kickstart', 'Vorpal Weapon', 'Backup Plan', 'High-Impact Reserves', 'Celerity', 'Celerity']"
304659313,Grenade Launcher,Ignition Code,Kinetic,Kinetic,Special,Lightweight Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Blinding Grenades', 'Proximity Grenades', 'Spike Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades']","['Field Prep', 'Slideshot', 'Surplus', 'Ambitious Assassin', 'Quickdraw', 'Lead from Gold']","['Danger Zone', 'Thresh', 'Vorpal Weapon', 'Demolitionist', 'One for All', 'Frenzy']"
310708513,Hand Cannon,Survivor's Epitaph,Kinetic,Kinetic,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Tunnel Vision', 'Heating Up', 'Firmly Planted', 'Quickdraw', 'Surplus', 'Outlaw', 'Feeding Frenzy', 'Ambitious Assassin', 'Killing Wind', 'Slideshot', 'Subsistence', 'Rapid Hit']","['Moving Target', 'Adrenaline Junkie', 'Frenzy', 'Osmosis', 'Eye of the Storm', 'Snapshot Sights', 'Wellspring', 'Multikill Clip', 'Thresh', 'One for All', 'High-Impact Reserves', 'Kill Clip']"
334171687,Hand Cannon,Waking Vigil,Arc,Energy,Primary,Adaptive Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Killing Wind', 'Slideshot', 'Rapid Hit', 'Outlaw', 'Rangefinder', 'Surplus']","['Opening Shot', 'Dragonfly', 'Kill Clip', 'Snapshot Sights', 'Disruption Break', 'Vorpal Weapon']"
346136302,Shotgun,Retold Tale,Void,Energy,Special,Precision Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Slideshot', 'Quickdraw', 'Dual Loader', 'Field Prep', 'Lead from Gold', 'Surplus']","['One-Two Punch', 'Killing Wind', 'Surrounded', 'Snapshot Sights', 'Demolitionist', 'Vorpal Weapon']"
407621213,Grenade Launcher,Berenger's Memory,Void,Power,Heavy,Rapid-Fire Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Thermoplastic Grenades', 'Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']","['Pulse Monitor', 'Quickdraw', 'Field Prep', 'Threat Detector', 'Clown Cartridge', 'Underdog']","['Disruption Break', 'Rampage', 'Demolitionist', 'Auto-Loading Holster', 'Shield Disorient', 'Elemental Capacitor']"
409551876,Sidearm,The Keening,Arc,Energy,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Slideshot', 'Pulse Monitor', 'Killing Wind', 'Under Pressure', 'Grave Robber', 'Slideways', 'Surplus', 'Moving Target', 'Subsistence', 'Rapid Hit', 'Hip-Fire Grip', 'Threat Detector']","['Zen Moment', 'Dragonfly', 'High-Impact Reserves', 'Multikill Clip', 'Snapshot Sights', 'Surrounded', 'Sympathetic Arsenal', 'Unrelenting', 'One for All', 'Thresh', 'Wellspring', 'Vorpal Weapon']"
432476743,Hand Cannon,The Palindrome,Void,Energy,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Subsistence', 'Quickdraw', 'Overflow', 'Killing Wind', 'Bottomless Grief', 'Outlaw', 'Bottomless Grief']","['One for All', 'Thresh', 'Unrelenting', 'Rampage', 'Rangefinder', 'High-Impact Reserves']"
471518543,Machine Gun,Corrective Measure,Void,Power,Heavy,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Surplus', 'Feeding Frenzy', 'Rewind Rounds', 'Subsistence', 'Demolitionist', 'Dynamic Sway Reduction', 'Dynamic Sway Reduction']","['Adrenaline Junkie', 'Thresh', 'One for All', 'Tap the Trigger', 'High-Impact Reserves', 'Firefly', 'Firefly']"
528834068,Auto Rifle,BrayTech Werewolf,Kinetic,Kinetic,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Slideshot', 'Dynamic Sway Reduction', 'Underdog', 'Mulligan', 'Under Pressure', ""Fourth Time's the Charm""]","['Unrelenting', 'Swashbuckler', 'Elemental Capacitor', 'Tap the Trigger', 'Eye of the Storm', 'Vorpal Weapon']"
532746994,Shotgun,Astral Horizon (Adept),Kinetic,Kinetic,Special,Aggressive Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Lead from Gold', 'Auto-Loading Holster', 'Dual Loader', 'Surplus', 'Pulse Monitor']","['Demolitionist', 'Trench Barrel', 'Opening Shot', 'Celerity', 'Killing Wind']"
534775659,Fusion Rifle,PLUG ONE.1 (Adept),Arc,Energy,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Heating Up', 'Under Pressure', 'Bottomless Grief', 'Killing Wind', 'Feeding Frenzy', 'Quickdraw', 'Bottomless Grief']","['Cornered', 'Adrenaline Junkie', 'Kickstart', 'Reservoir Burst', 'Backup Plan', 'Thresh']"
541188001,Sidearm,Farewell,Kinetic,Kinetic,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Tunnel Vision', 'Heating Up', 'Rangefinder', 'Full Auto Trigger System', 'Subsistence', 'Moving Target']","['Frenzy', 'Adrenaline Junkie', 'Unrelenting', 'Multikill Clip', 'Thresh', 'Vorpal Weapon']"
568515759,Pulse Rifle,Chattering Bone,Kinetic,Kinetic,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Full Auto Trigger System', 'Outlaw', 'Opening Shot', 'Rangefinder']","['Rampage', 'High-Impact Reserves', 'Headseeker', 'Under Pressure']"
599895591,Shotgun,Sojourner's Tale,Solar,Energy,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Rapid Hit', 'Tunnel Vision', 'Threat Detector', 'Auto-Loading Holster', 'Quickdraw', 'Moving Target']","['Killing Wind', 'Frenzy', 'Adrenaline Junkie', 'Dragonfly', 'Surrounded', 'Opening Shot']"
601592879,Auto Rifle,Age-Old Bond,Void,Energy,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Dynamic Sway Reduction', 'Tap the Trigger', 'Triple Tap', 'Zen Moment']","['Kill Clip', 'High-Impact Reserves', 'Ambitious Assassin', 'Dragonfly']"
607191995,Fusion Rifle,Hollow Words,Arc,Energy,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Feeding Frenzy', 'Lead from Gold', 'Slideways', 'Quickdraw', 'Under Pressure', 'Killing Wind']","['Vorpal Weapon', 'Surrounded', 'Sympathetic Arsenal', 'Unrelenting', 'Disruption Break', 'Backup Plan']"
614426548,Sword,Falling Guillotine,Void,Power,Heavy,Vortex Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Energy Transfer', 'Tireless Blade', 'Relentless Strikes']","['Counterattack', 'Surrounded', 'Whirlwind Blade', 'En Garde']"
631439337,Shotgun,Found Verdict (Timelost),Arc,Energy,Special,Aggressive Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Rewind Rounds', 'Surplus', 'Unrelenting', 'Slideshot', 'Auto-Loading Holster', 'Full Auto Trigger System', 'Full Auto Trigger System']","['Demolitionist', 'One-Two Punch', 'Opening Shot', 'Frenzy', 'Killing Wind', 'Vorpal Weapon', 'Vorpal Weapon']"
654370424,Hand Cannon,Nation of Beasts,Arc,Energy,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine']","['Outlaw', 'Opening Shot', 'Ambitious Assassin', 'Zen Moment']","['Explosive Payload', 'Rampage', 'Triple Tap', 'Kill Clip']"
679281855,Fusion Rifle,Exile's Curse,Arc,Energy,Special,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Quickdraw', 'Pulse Monitor', 'Slideshot', 'Killing Wind', 'Hip-Fire Grip']","['Kickstart', 'Vorpal Weapon', 'Backup Plan', 'High-Impact Reserves', 'Celerity', 'Celerity']"
